iter	RMSE
382	131662.9314
383	131333.5899
384	131019.4275
385	130817.9827
386	130516.5578
387	130368.0572
388	130128.4196
389	129990.4047
390	129797.6747
391	129670.9337
392	129458.5332
393	129201.2595
394	129031.0464
395	128837.3162
396	128571.0876
397	128474.0144
398	128209.1622
399	128065.7594
400	127883.3479
401	127574.7645
402	127332.6938
403	127172.2493
404	127077.7922
405	126749.396
406	126637.9223
407	126401.2108
408	126094.6521
409	125736.4237
410	125479.2464
411	125149.4916
412	124975.8217
413	124770.3734
414	124565.7823
415	124307.7225
416	124149.249
417	123857.7787
418	123667.5027
419	123433.8125
420	123066.8684
421	122852.6067
422	122707.9607
423	122418.2232
424	122282.6127
425	122030.0762
426	121799.4196
427	121639.9624
428	121368.4389
429	121271.6678
430	121152.9616
431	120970.076
432	120811.0064
433	120725.8991
434	120614.9463
435	120512.4384
436	120410.3577
437	120285.111
438	120025.6759
439	119942.5467
440	119761.5153
441	119610.0995
442	119428.2294
443	119264.3872
444	119025.1347
445	118777.9521
446	118697.0781
447	118604.0067
448	118449.9482
449	118165.4298
450	118075.5542
451	117896.0412
452	117631.7203
453	117520.7197
454	117243.8014
455	117133.0944
456	116981.1849
457	116788.395
458	116492.7737
459	116354.1364
460	116118.9184
461	115864.9437
462	115549.1663
463	115335.5729
464	115216.3768
465	115141.1456
466	114916.1704
467	114815.5464
468	114698.692
469	114584.4186
470	114439.3444
471	114308.1988
472	114194.9527
473	113960.8909
474	113816.4217
475	113675.4223
476	113456.0657
477	113332.3318
478	113202.3425
479	112973.562
480	112797.2369
481	112552.113
482	112440.4168
483	112168.0775
484	111922.7928
485	111624.2641
486	111363.6965
487	111125.4141
488	111025.6667
489	110926.808
490	110673.3473
491	110562.4647
492	110359.2949
493	110255.0558
494	110187.6835
495	110113.7679
496	110019.9918
497	109952.9062
498	109843.409
499	109704.9932
500	109474.0813
501	109372.2267
502	109285.2367
503	109060.4759
504	108974.1158
505	108839.9299
506	108775.586
507	108667.431
508	108581.8424
509	108515.5337
510	108451.7321
511	108258.7499
512	108127.0328
513	107883.5223
514	107821.507
515	107663.5358
516	107557.6578
517	107422.2627
518	107321.2578
519	107170.743
520	107110.2731
521	106980.1694
522	106702.4666
523	106619.7308
524	106483.9562
525	106253.4343
526	106049.5482
527	105990.6675
528	105847.5356
529	105601.4834
530	105370.7324
531	105153.5561
532	105059.4836
533	104823.0226
534	104729.6779
535	104519.9794
536	104437.8156
537	104209.6757
538	104151.1274
539	104036.8086
540	103943.9352
541	103853.4451
542	103741.9358
543	103606.6685
544	103532.6793
545	103432.6519
546	103322.0067
547	103110.1187
548	103039.9063
549	102954.1066
550	102737.5729
551	102668.0793
